image_path,speed,steering_angle,discrete_speed,discrete_steering,rationale
../data/comma2k19/Chunk_1/b0c9d2329ad1606b|2018-07-27--06-50-48/11/preview.png,30.331250000000004,0.1,65+ mph,Straight,"1. Speed  
- Where is the vehicle driving? What is a typical speed in this environment?  
  The vehicle is on a multi-lane freeway at night. Typical freeway speeds in this setting range from 55 to 75 mph, depending on posted limits and traffic flow.  
- What are the driving conditions? How should this impact the speed?  
  The pavement appears dry, visibility is reduced due to darkness but there is no rain or snow. Under clear but low-light conditions, the driver should maintain freeway speed while remaining vigilant, possibly at the upper end of the speed limit if comfortable and conditions remain stable.  
- What other agents are in the scene? What are their potential actions? How should that impact the driver’s speed?  
  There are very few vehicles visible: one car in an adjacent lane ahead to the right, and tail lights in the distance. No pedestrians or cyclists. Other vehicles could brake or change lanes unexpectedly, so the driver should keep a safe following distance and be ready to reduce speed, but can otherwise maintain a steady freeway pace.

2. Steering Angle  
- What is the curvature of the lane?  
  The lane is essentially straight with only a very gentle alignment; no significant left or right bend is visible.  
- Are there any potential obstacles in the driver’s way? If so, how should the driver steer to avoid them?  
  There are no obstacles on the roadway surface. Guardrails and signage are off the travel lanes. No steering adjustments are needed beyond maintaining lane centering.  
- What other agents are in the scene? What are their potential actions? How should that impact the driver’s steering angle?  
  The lone vehicle to the right could drift or change lanes; the driver should maintain lane discipline and be prepared to make a slight corrective steering input if another car encroaches, but otherwise hold a straight steering angle.

3. Predicted Discrete Action  
{
    ""speed"": ""65+ mph"",
    ""steering"": ""Straight""
}"
../data/comma2k19/Chunk_1/b0c9d2329ad1606b|2018-08-17--14-17-47/6/preview.png,18.819444444444443,0.3,35-55 mph,Straight,"1. Speed  
- The vehicle is on a multi-lane suburban arterial (city street with a center median and parallel parked cars). Typical speeds on such roads range from 30–45 mph.  
- Conditions are overcast but dry, with good visibility and no precipitation. These clear, dry conditions support traveling at the posted limit but still warrant vigilance for changing circumstances.  
- Other agents include several moving vehicles ahead in the same direction, a car parked at the curb on the right, and oncoming traffic. The lead vehicles may slow or change lanes; parked cars could pull out. To maintain a safe following distance and allow reaction time, the driver should moderate speed, avoiding sudden braking or acceleration.

2. Steering Angle  
- The lane ahead is straight with only a very slight alignment drift; there is no significant left or right curvature.  
- There are no immediate obstacles in the driving lane. Parked cars at the curb are off the roadway but should be monitored in case they pull away.  
- Moving vehicles in adjacent lanes could drift or merge. Pedestrians are not visible on sidewalks, and no cyclists are in the lane. The driver should maintain a centered position in the lane, steering straight but ready to counter any drift or evasive maneuvers if a vehicle suddenly enters the lane.

3. Predicted Discrete Action  
{
    ""speed"": ""35-55 mph"",
    ""steering"": ""Straight""
}"
../data/comma2k19/Chunk_1/b0c9d2329ad1606b|2018-08-14--10-32-01/29/preview.png,31.708333333333336,7.3,65+ mph,Left,"1. Speed  
- The vehicle is traveling on a multi-lane freeway. Typical speeds on such highways range from 55 to 75 mph, depending on local limits and traffic flow.  
- The weather is overcast but dry, with no rain or snow visible. Dry pavement and good visibility allow for normal freeway speeds, though overcast light may require slightly increased vigilance.  
- Other vehicles are present in adjacent and forward lanes. The convertible in the left lane and the sedan directly ahead could slow, merge, or change lanes. To maintain safe following distance, the driver should monitor their speeds and be prepared to decelerate if one of them brakes or drifts.

2. Steering Angle  
- The road is predominantly straight with a very gentle leftward curvature, as indicated by the guardrail on the right curving away and the lane markings angling slightly left.  
- There are no immediate fixed obstacles in the lane. The driver should stay centered in their lane, making minor leftward steering to follow the roadway’s subtle left bend.  
- The convertible to the left and other vehicles ahead could shift lanes unexpectedly. The driver should maintain a steady steering input, make gradual adjustments to stay within the lane, and avoid abrupt movements.

3. Predicted Discrete Action  
```json
{
    ""speed"": ""65+ mph"",
    ""steering"": ""Left""
}
```"
../data/comma2k19/Chunk_1/b0c9d2329ad1606b|2018-07-29--11-17-20/4/preview.png,8.844444444444445,-9.7,5-35 mph,Right,"1. Speed  
- The vehicle is driving on a city street at an intersection with trolley tracks and crosswalks. Typical urban speeds here range from 25 to 35 mph.  
- It appears to be overcast but dry, so traction is normal. No need to reduce speed for weather, but remain alert to changes (puddles, slick spots).  
- There are parked cars on both sides and a crosswalk directly ahead. Pedestrians could step into the roadway, and other road users (trolley, bikes) may emerge from between parked cars. This environment calls for a moderate speed—slow enough to stop for a pedestrian crossing or a streetcar pulling out, but not so slow as to block traffic flow.

2. Steering Angle  
- The lane ahead incorporates trolley tracks that curve gently to the right, and the painted lane guide lines also bend right.  
- A parked SUV on the right curb encroaches slightly into the driver’s peripheral path; the driver should stay centered in the lane, following the gentle right curvature, to maintain safe clearance.  
- No moving vehicles or pedestrians are currently in the driver’s immediate path, but the potential for someone stepping out from between parked cars on either side requires a steady, predictable steering approach—track the lane curve smoothly rather than making sudden corrections.

3. Predicted Discrete Action  
{
    ""speed"": ""5-35 mph"",
    ""steering"": ""Right""
}"
../data/comma2k19/Chunk_1/b0c9d2329ad1606b|2018-08-01--21-13-49/11/preview.png,32.09236111111112,-4.9,65+ mph,Straight,"1. Speed  
- Environment: The vehicle is on a multi-lane divided freeway at night. Typical speeds on such freeways range from 55–75 mph, depending on posted limits.  
- Conditions: The roadway appears clear and dry, with good visibility aided by the vehicle’s headlights. Night driving warrants slightly increased following distances and attentiveness, but does not by itself require drastic speed reduction in clear conditions.  
- Other agents: There are several cars visible in the right lanes ahead, traveling at or near freeway speeds. Their potential actions include maintaining lane position or shifting lanes to pass slower traffic. To maintain a safe following distance and keep pace with traffic, the driver should hold a speed near the upper end of the freeway range while being ready to decelerate if any vehicle ahead slows or merges unpredictably.

2. Steering Angle  
- Lane curvature: The lane marking and yellow centerline appear almost perfectly straight with only a very gentle rightward sweep.  
- Obstacles: No debris, parked vehicles, or pedestrians are present in the lane of travel.  
- Other agents: All other vehicles are in adjacent lanes; none are encroaching into the host lane. The driver can keep the steering wheel centered, with only minimal micro-adjustments to stay aligned within the lane.

3. Predicted Discrete Action  
{
    ""speed"": ""65+ mph"",
    ""steering"": ""Straight""
}"
../data/comma2k19/Chunk_1/b0c9d2329ad1606b|2018-08-17--14-17-47/5/preview.png,0.0,1.9,0-5 mph,Straight,"1. Speed  
- The vehicle is on a multi-lane city street approaching a signalized intersection. Typical posted speeds in this environment range from 25–35 mph.  
- Weather and road conditions appear clear and dry, which under normal circumstances would allow travel at the posted speed limit. However, approaching a red traffic signal requires a significant reduction in speed.  
- Other agents: multiple vehicles are stopped in all lanes at the red light. There may be pedestrians beginning to step off the curb when the light changes. To avoid a rear-end collision and to yield to crossings, the driver should slow to a near stop well before the stop line.

2. Steering Angle  
- The lane markings ahead are straight with no visible curvature.  
- There are no unexpected obstacles in the lane, only stopped cars directly ahead.  
- Other agents (cars stopped ahead, potential pedestrians at the crosswalk) require the driver to maintain a straight heading aligned with the lane so as not to encroach into adjacent lanes or the crosswalk area.

3. Predicted Discrete Action  
```json
{
    ""speed"": ""0-5 mph"",
    ""steering"": ""Straight""
}
```"
../data/comma2k19/Chunk_1/b0c9d2329ad1606b|2018-08-14--10-32-01/27/preview.png,30.695833333333336,2.2,65+ mph,Straight,"1. Speed  
- Environment: The vehicle is on a multi-lane freeway. Typical speeds on this type of road range from 55–70 mph depending on the posted limit and traffic flow.  
- Conditions: The sky is overcast but the pavement is dry and visibility is good. In clear, dry conditions on a freeway, the driver can safely maintain near the speed limit, adjusting only for traffic.  
- Other agents: There are passenger cars in adjacent lanes and a medium-sized truck in the right lane. None are suddenly decelerating or merging aggressively. To maintain safe spacing and traffic flow, the driver should match the prevailing freeway speed (around 65 mph).  

2. Steering Angle  
- Lane curvature: The lanes ahead are essentially straight with no significant left or right bends.  
- Obstacles: No debris or static obstacles are visible in the vehicle’s lane.  
- Other agents: Surrounding vehicles are maintaining their lanes without drifting. As long as the driver holds a centered position within the lane, no steering corrections beyond keeping the wheel straight are needed.  

3. Predicted Discrete Action  
{
    ""speed"": ""65+ mph"",
    ""steering"": ""Straight""
}"
../data/comma2k19/Chunk_1/b0c9d2329ad1606b|2018-08-17--14-17-47/9/preview.png,23.182638888888892,1.8,35-55 mph,Straight,"1. Speed  
- Where is the vehicle driving (freeway, city streets, etc.)? What is a typical speed in this environment?  
  The vehicle is on a multi-lane freeway. Typical speeds on this type of suburban freeway range from 55–65 mph, though actual traffic may flow more slowly.  
- What are the driving conditions (clear, snowing, raining, etc.)? How should this impact the speed the vehicle is moving?  
  Conditions are clear with dry pavement and good visibility. Under these ideal conditions, maintaining typical freeway speed is appropriate, provided traffic flow and spacing allow.  
- What other agents are in the scene (other vehicles, bikers, pedestrians, etc.)? What are their potential actions (slowing down, walking in front of the car, swerving into the lane, etc)? How should that impact the driver's speed?  
  Two neighboring vehicles are visible: one in the left lane and one in the right lane. Both appear to be traveling steadily. No pedestrians or cyclists are present. The driver should match the flow of traffic, maintain safe following distance, and be prepared to decelerate slightly if either vehicle changes lanes or slows.

2. Steering Angle  
- What is the curvature of the lane the vehicle is driving in? Is the lane straight, curved left, curved right, or other?  
  The lane ahead is essentially straight with no significant curvature.  
- Are there any potential obstacles in the driver’s way? If so, how should the driver steer to avoid these obstacles?  
  No obstacles (debris, stalled vehicles, etc.) are present in the immediate path. The driver should maintain lane centering.  
- What other agents are in the scene (other vehicles, bikers, pedestrians, etc.)? What are their potential actions (slowing down, walking in front of the car, swerving into the lane, etc)? How should that impact the driver's steering angle?  
  The adjacent vehicles are stable in their lanes. The driver should keep the steering wheel centered (straight) while monitoring mirror checks in case another vehicle drifts or overtakes.

3. Predicted Discrete Action  
Provide your final discrete predictions using ONLY the allowed values.

{
    ""speed"": ""35-55 mph"",
    ""steering"": ""Straight""
}"
../data/comma2k19/Chunk_1/b0c9d2329ad1606b|2018-08-02--16-41-38/7/preview.png,0.929861111111111,-1.0,0-5 mph,Straight,"1. Speed  
- The vehicle is on a multi-lane urban street, likely approaching or stopped at an intersection. Typical posted speeds here would be in the 25–35 mph range, though lower speeds are common when there is signalized traffic.  
- Conditions are clear and dry, so there is no weather-related reduction in visibility or traction required. Under normal flow you could travel at the posted limit, but current traffic flow is stopped or moving very slowly.  
- Other agents: a black SUV immediately ahead is at a standstill or creeping, with additional vehicles queued in the adjacent lane. There are no pedestrians in the crosswalk at this moment, but the stopped queue and intersection control demand a near-zero speed until the light changes.  

2. Steering Angle  
- The lane ahead is straight with no curvature.  
- There are no obstacles intruding into the lane; lane markings are clear and continuous.  
- Other vehicles flank the driver’s car on the left and ahead; maintaining a centered, straight steering angle avoids encroaching on neighboring lanes or causing side collisions.  

3. Predicted Discrete Action  
```json
{
    ""speed"": ""0-5 mph"",
    ""steering"": ""Straight""
}
```"
../data/comma2k19/Chunk_1/b0c9d2329ad1606b|2018-07-27--06-03-57/7/preview.png,30.829166666666666,-2.3,65+ mph,Straight,"1. Speed  
- The vehicle is driving on a multi-lane freeway. Typical speeds on this type of road are in the range of 55–75 mph, with many limits around 65 mph.  
- It is nighttime but the pavement appears dry and visibility, while reduced, is adequate. Under clear, dry conditions the vehicle can safely maintain freeway speeds, though slightly slower speeds can be chosen if the driver is wary of glare or reduced sight distance.  
- Other agents consist of distant moving vehicles in adjacent lanes and parked cars on the right shoulder. None are merging immediately into the lane, and no pedestrians or cyclists are present. These conditions allow maintaining a steady freeway speed, with readiness to slow if a vehicle ahead significantly decelerates.

2. Steering Angle  
- The lane ahead is straight with no noticeable curvature.  
- There are no obstacles in the driving lane; parked cars are off to the shoulder and do not intrude into the travel lanes.  
- Other agents (far-ahead vehicles) remain centered in their lanes and show no signs of abrupt lateral movements. The driver should keep the wheels aligned to the lane center, maintaining a straight trajectory.

3. Predicted Discrete Action  
{
    ""speed"": ""65+ mph"",
    ""steering"": ""Straight""
}"
